"api_version","results__corporate_grouping__name","results__corporate_grouping__wikipedia_id","results__corporate_grouping__companies_count","results__corporate_grouping__created_at","results__corporate_grouping__updated_at","results__corporate_grouping__curators__user__name","results__corporate_grouping__curators__user__opencorporates_url","results__corporate_grouping__memberships__membership__source__publisher","results__corporate_grouping__memberships__membership__source__retrieved_at","results__corporate_grouping__memberships__membership__source__url","results__corporate_grouping__memberships__membership__source__source_type","results__corporate_grouping__memberships__membership__company__name","results__corporate_grouping__memberships__membership__company__jurisdiction_code","results__corporate_grouping__memberships__membership__company__company_number","results__corporate_grouping__memberships__membership__company__opencorporates_url","results__corporate_grouping__memberships__membership__company__inactive"
"0.4.6","Donald Trump","Donald_Trump","1055","2016-05-04T19:59:57+00:00","2017-04-15T13:31:04+00:00","Ben Parker","https://opencorporates.com/users/23275","Ben Parker","2016-05-04T20:00:00+00:00","https://opencorporates.com/users/23275","user","TRUMP SALES & LEASING CHICAGO MEMBER CORP","us_de","4744125","https://opencorporates.com/companies/us_de/4744125","null"
"","","","","","","Pratheek Rebala","https://opencorporates.com/users/35566","Ben Parker","2016-05-04T20:00:00+00:00","https://opencorporates.com/users/23275","user","4 SHADOW TREE LANE LLC","us_ny","4300822","https://opencorporates.com/companies/us_ny/4300822","False"
"","","","","","","J. Yng","https://opencorporates.com/users/11422","Ben Parker","2016-05-04T20:00:00+00:00","https://opencorporates.com/users/23275","user","4 SHADOW TREE LANE LLC","us_ny","4300822","https://opencorporates.com/companies/us_ny/4300822","False"
"","","","","","","Alex Skene","https://opencorporates.com/users/30315","Ben Parker","2016-05-04T20:00:00+00:00","https://opencorporates.com/users/23275","user","4 SHADOW TREE LANE MEMBER CORP","us_ny","4300863","https://opencorporates.com/companies/us_ny/4300863","False"
"","","","","","","Christopher Groskopf","https://opencorporates.com/users/36943","Ben Parker","2016-05-04T20:00:00+00:00","https://opencorporates.com/users/23275","user","40 WALL DEVELOPMENT ASSOCIATES LLC","us_ny","1943518","https://opencorporates.com/companies/us_ny/1943518","False"
"","","","","","","","","Ben Parker","2016-05-04T20:00:00+00:00","https://opencorporates.com/users/23275","user","40 WALL STREET MEMBER CORP.","us_ny","2252552","https://opencorporates.com/companies/us_ny/2252552","False"
"","","","","","","","","Ben Parker","2016-05-04T20:00:00+00:00","https://opencorporates.com/users/23275","user","401 MEZZ VENTURE LLC","us_de","3861328","https://opencorporates.com/companies/us_de/3861328","null"
"","","","","","","","","Ben Parker","2016-05-04T20:00:01+00:00","https://opencorporates.com/users/23275","user","401 NORTH WABASH VENTURE LLC","us_de","3477659","https://opencorporates.com/companies/us_de/3477659","null"
"","","","","","","","","Ben Parker","2016-05-04T20:00:01+00:00","https://opencorporates.com/users/23275","user","809 NORTH CANON LLC","us_de","4266968","https://opencorporates.com/companies/us_de/4266968","null"
"","","","","","","","","Ben Parker","2016-05-04T20:00:01+00:00","https://opencorporates.com/users/23275","user","81 PINE NOTE HOLDER INC","us_ny","2180746","https://opencorporates.com/companies/us_ny/2180746","False"
