documentid,recordtype,partytype,name,address1,address2,country,city,state,zip,goodthroughdate
2.01108E+15,P,1,TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC,"160 VARICK STREET, 2ND FLOOR",,US,NEW YORK,NY,10013,7/31/2015 0:00
FT_1180006209618,P,2,TRUMP INTERNATIONALHOTEL AND TOWER CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_1920006924492,P,2,200 RIVERSIDE BOULEVARD AT TRUMP PLACE,,,,,,,7/31/2015 0:00
FT_1470006564747,P,1,TRUMP TOWER CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_1550006777955,P,2,TRUMP INTERNATIONALHOTEL AND TOWER CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_1010000259001,P,2,TRUMP PARC CD BD/MGRS,,,US,,,0,7/31/2015 0:00
2.00309E+15,P,2,BOARD OF MANAGERS OF THE TRUMP,WORLD TOWER CONDOMINIUM,"C/O THE TRUMP CORPORATION, 725 FIFTH AVENUE",US,NEW YORK,NY,10022,7/31/2015 0:00
2.00902E+15,P,2,BOARD OF MANAGERS OF THE TRUMP WORLD TOWER,CONDOMINUM,845 UNITED NATIONS PLAZA,US,NEW YORK,NY,10017,7/31/2015 0:00
FT_1340006040834,P,1,TRUMP INTERNATIONALHOTEL & TOWER CONDO,,,,,,,7/31/2015 0:00
FT_1810006600681,P,2,TRUMP INTERNATIONALHOTEL AND TOWER CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_1660000423966,P,2,"TRUMP, DONALD J.",,,US,,,0,7/31/2015 0:00
FT_1070000397607,P,1,"TRUMP, DONALD J",725  FIFTH AVE,,US,NY,NY,0,7/31/2015 0:00
FT_1470000110147,P,2,TRUMP TOWER CD BD/MGRS,,,US,,,0,7/31/2015 0:00
FT_1700000401570,P,2,TRUMP PALACE CO DBA,,,US,,,0,7/31/2015 0:00
FT_1910007692591,P,2,TRUMP WORLD TOWER CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_1850006838585,P,2,200 RIVERSIDE BOULEVARD AT TRUMP PLACE,,,,,,,7/31/2015 0:00
FT_1980004757598,P,2,"TRUMP, DONALD J.",,,,,,,7/31/2015 0:00
FT_1100000085010,P,2,TRUMP TWR CD BD/MGRS,,,US,,,0,7/31/2015 0:00
2.00306E+15,P,2,THE TRUMP WORLD TOWER CONDOMINIUM,725 FIFTH AVENUE,,US,NEW YORK,NY,10022,7/31/2015 0:00
FT_1580000038858,P,2,TRUMP TOWER COND BDMGRS,,,US,,,0,7/31/2015 0:00
FT_1800008793480,P,1,TRUMP PARC CONDOMINIUM,,,,,,,7/31/2015 0:00
2.0121E+15,P,2,THE TRUMP WORL TOWER CONDOMINIUM,845 UNITED NATIONS PLAZA,,US,NEW YORK,NY,10017,7/31/2015 0:00
2.00704E+15,P,2,BOARD OF MANAGERS OF TRUMP INTERNATIONAL HOTEL,AND TOWER CONDOMINIUM,ONE CENTRAL PARK WEST,US,NEW YORK,NY,10023,7/31/2015 0:00
2.00508E+15,P,2,BOARD OF MANAGERS OF THE HERITAGE AT TRUMP PLACE,240 RIVERSIDE BLVD.,,US,NEW YORK,NY,10069,7/31/2015 0:00
FT_1980000400198,P,2,"TRUMP, DONALD J",,,US,,,0,7/31/2015 0:00
FT_1870005195687,P,2,"TRUMP, DONALD J.",,,,,,,7/31/2015 0:00
2.00409E+15,P,2,THE TRUMP WORLD TOWER CONDOMINIUM BOARD,845 UNITED NATIONS PLAZA,,US,NEW YORK,NY,10022,7/31/2015 0:00
2.01406E+15,P,2,THE TRUMP WORLD TOWER CONDOMINIUM,845 UNITED NATIONS PLAZA,,US,NEW YORK,NY,10017,7/31/2015 0:00
FT_1480004723448,P,1,"TRUMP, DONALD J.",725  FIFTH AVENUE,,US,NEW YORK,NY,,7/31/2015 0:00
2.00602E+15,P,2,TRUMP PARK AVENUE CONDOMINIUM,502 PARK AVENUE,,US,NEW YORK,NY,10022,7/31/2015 0:00
FT_1520007129452,P,1,TRUMP PARC CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_1470008354347,P,2,TRUMP PALACE CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_1800004130580,P,2,TRUMP PALACE CONDO,,,,,,,7/31/2015 0:00
FT_3490001522249,P,1,"TRUMP, FRED C",,,US,,,0,7/31/2015 0:00
FT_1010000373901,P,2,"TRUMP, DONALD J.",,,US,,,0,7/31/2015 0:00
FT_1490000440349,P,1,TRUMP TOWER CD BD/MGRS,,,US,,,0,7/31/2015 0:00
FT_1000007004600,P,2,TRUMP PARC CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_1420000368342,P,2,TRUMP PALACE CO  D/B/A,,,US,,,0,7/31/2015 0:00
2.00911E+15,P,1,TRUMP VILLAGE SECTION 4 INC.,2928 WEST 5TH STREET,,US,BROOKLYN,NY,11224,7/31/2015 0:00
FT_3660004627666,P,1,"GRAU, ELIZABETH TRUMP",200  E 69 ST,,US,NY,NY,10021,7/31/2015 0:00
2.01112E+15,P,2,TRUMP PALACE CONDOMINIUM BOARD OF MANAGERS,200 EAST 69TH STREET,,US,NEW YORK,NY,10021,7/31/2015 0:00
2.00706E+15,P,2,BOARD OF MANAGERS OF THE HERITAGE AT TRUMP PLACE C,240 RIVERSIDE BOUELVARD,,US,NEW YORK,NY,10069,7/31/2015 0:00
2.00403E+15,P,2,THE CONDOMINIUM BOARD OF TRUMP INTERNATIONAL HOTEL,C/O THE TRUMP CORPORATION,725 FIFTH AVENUE,US,NEW YORK,NY,10022,7/31/2015 0:00
FT_1800006197980,P,1,"TRUMP 767 FIFTH AVENUE, LLC","TRUMP ORGANIZATION, INC.",725  FIFTH AVENUE,US,NEW YORK,NY,10022,7/31/2015 0:00
2.00405E+15,P,2,220 RIVERSIDE BOULEVARD AT TRUMP PLACE CONDOMINIUM,220 RIVERSIDE BLVD,,US,NEW YORK,NY,10069,7/31/2015 0:00
2.01108E+15,P,2,BOARD OF MANAGERS OF TRUMP TOWER CONDOMINIUM,721-725 FIFTH AVE,,US,NY,NY,10022,7/31/2015 0:00
FT_1980004291398,P,1,"TRUMP, DONALD J.",,,,,,,7/31/2015 0:00
FT_1110000035711,P,1,TRUMP-EQUITABLE ETC.,,,US,,,0,7/31/2015 0:00
FT_1520000404052,P,2,TRUMP PALACE COMPANYDBA,,,US,,,0,7/31/2015 0:00
FT_1990005249999,P,2,"TRUMP, DONALD J.",,,,,,,7/31/2015 0:00
2.00508E+15,P,2,BD OF MGRS OF THE HERITAGE AT TRUMP PLACE,725 FIFTH AVENUE,,US,NEW YORK,NY,10022,7/31/2015 0:00
2.01005E+15,P,1,TRUMP TOWER CONDOMINIUM,721 FIFTH AVENUE,,US,NEW YORK,NY,10022,7/31/2015 0:00
FT_1220000368422,P,2,TRUMP TOWERS CONDO B/MNG,,,US,,,0,7/31/2015 0:00
FT_1290008836629,P,2,TRUMP PARC CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_1480005316248,P,2,"TRUMP, DONALD J.",,,,,,,7/31/2015 0:00
FT_1420006564742,P,1,TRUMP PALACE CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_1780008793478,P,1,TRUMP PARC CONDOMINIUM,,,,,,,7/31/2015 0:00
2.00503E+15,P,2,TRUMP PARK AVENUE LLC,502 PARK AVENUE,,US,NEW YORK,NY,10022,7/31/2015 0:00
FT_1580006272358,P,1,TRUMP TOWER CONDOMINIUM,,,,,,,7/31/2015 0:00
2.0131E+15,P,1,TRUMP PARC CONDOMINIUM,106 CENTRAL PARK SOUTH,,US,NEW YORK,NY,10019,7/31/2015 0:00
FT_1320008883532,P,1,TRUMP WORLD TOWER ATUNITED NATIONS PLAZA,,,,,,,7/31/2015 0:00
FT_1000000418300,P,2,"TRUMP, DONALD J.",,,US,,,0,7/31/2015 0:00
2.01601E+15,P,2,THE CONDOMINIUM BOARD OF TRUMP PALACE CONDOMINIUM,"725 FIFTH AVENUE, 26TH FLOOR",,US,NEW YORK,NY,10022,1/31/2016 0:00
2.00405E+15,P,1,TRUMP VILLAGE APARTMENTS TWO LLC,C/O APT. MANAGEMENT ASSOCIATES LLC,2611 WEST 2ND STREET,US,BROOKLYN,NY,11223,7/31/2015 0:00
FT_1100006741810,P,1,TRUMP PARC CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_1560007621256,P,2,TRUMP WORLD TOWER CONDOMINIUM,,,,,,,7/31/2015 0:00
FT_3200001253720,P,2,TRUMP VILLAGE CONSTR.CP,2611  WEST SECOND ST,,US,BKLYN,NY,0,7/31/2015 0:00
2.01203E+15,P,2,TRUMP PARC CONDOMINUM,"725 FIFTH AVENUE, 26TH FLOOR",,US,NEW YORK,NY,10022,7/31/2015 0:00
2.00701E+15,P,2,220 RIVERSIDE BOULEVARD AT TRUMP LACE,220 RIVERSIDE BLVD.,,US,NEW YORK,NY,10025,7/31/2015 0:00
FT_1410005786841,P,2,TRUMP INTERNATIONALHOTEL AND TOWER CONDOMINIUM,,,,,,,7/31/2015 0:00
2.01409E+15,P,1,220 RIVERSIDE BOULEVARD AT TRUMP PLACE,220 RIVERSIDE BOULEVARD,,US,NEW YORK,NY,10069,7/31/2015 0:00
FT_1440005000044,P,2,"TRUMP, DONALD J.",,,,,,,7/31/2015 0:00
2.00303E+15,P,2,200 RIVERSIDE BLVD. AT TRUMP PLACE,200 RIVERSIDE BLVD.,,US,NEW YORK,NY,10069,7/31/2015 0:00
FT_1120000439512,P,2,TRUMP PALACE COMPANYDBA,,,US,,,0,7/31/2015 0:00
FT_1050000037105,P,1,TRUMP-EQUITABLE ETC.,,,US,,,0,7/31/2015 0:00
2.01108E+15,P,1,TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC,160 VARICK STREET,,US,NEW YORK,NY,10013,7/31/2015 0:00
2.00412E+15,P,2,BOARD OF MANAGERS OF TRUMP PLACE CONDO,"725 5TH AVENUE, 26TH FLOOR",,US,NEW YORK,NY,10022,7/31/2015 0:00
FT_1740000026374,P,1,TRUMP-EQUITABLE ETC.,,,US,,,0,7/31/2015 0:00
FT_1120000439512,P,2,"TRUMP, DONALD J.",,,US,,,0,7/31/2015 0:00
